0,1
تنازع,tanaaza
تنازعات,tanazaat
تنازعے,tanaazaey
تناسب,tanaasab
تناسل,tanaasal
تناظر,tanazar
تناظرات,tanazraat
تناو,tanaao
تناور,tanawar
تناول,tanawal
تنبیہ,tanbea
تنتر,tantar
تنخواہ,tankhwah
تنخواہوں,tankhwahon
تنخواہیں,tankhwaahen
تند,tand
تندرست,tandrust
تندرستی,tandrusti
تندور,tandoor
تندوری,tandoori
تنزانیہ,tanzania
تنزل,tanazzul
تنزلی,tanzali
تنزیلہ,tanzeelah
تنزیہہ,tanzeehah
تنزیہی,tanzeehi
تنسیخ,tanseekh
تنصیب,tanseeb
تنصیبات,tanseebaat
تنظمیوں,tanjmiyun
تنظیم,tanzim
تنظیمات,tanzimat
تنظیموں,tanzimon
تنظیمِ,tanjimi
تنظیمی,tanzimi
تنظیمیں,tanjimen
تنفس,tanafas
تنفسی,tanafsi
تنقیحات,tanqihat
تنقید,tanqid
تنقیدی,tanqeedi
تنقیدیں,tankiden
تنو,tano
تنوع,tano
تنولی,tanoli
تنویر,tanveer
تنک,tank
تنکا,tanka
تنکابن,tanakban
تنکار,tankar
تنکے,tankay
تنگ,tang
تنگی,tangi
تنہا,tanha
تنہائی,tanhayi
تنہائیوں,tanhaayiyoun
تنے,tane
تها,tha
تهذیب,tehzeeb
تهران,tehran
تهل,thal
تهی,tahee
تهیں,tahein
تهے,thay
تو,to
توئی,toi
توابین,tawabeen
تواتر,tawatar
تواریخ,tavareekh
توازن,tavazan
تواسی,tawasi
توافق,tavafik
توان,tawan
توانا,tawana
توبل,tobal
توبہ,taoba
توبۃ,taubata
توبے,tobay
توت,toot
توتلا,totla
توتے,totay
توجه,taojah
توجو,taojjo
توجّہ,tawajjah
تور,tor
تورا,tora
تورو,tauro
توریت,taoriyat
توریہ,taoriya
توزیع,taujeah
توسط,tawassat
توسیع,tavsea
توسیعی,tavseai
توضیحات,tauzeehat
توقیر,toqeer
تول,tol
تولہ,tolah
تومر,tomar
تونسوی,tunasvi
تونہ,tona
توپ,top
توپچی,topchi
توپیں,toopain
توڑ,tod
توڑا,toda
توڑتی,todti
توڑتے,todate
توڑدی,tadadi
توڑنا,todna
توڑنے,todane
توڑکر,todkar
توڑیں,todein
توڑے,today
توکل,tavakkal
توکلی,tavkali
توں,toon
توہم,toham
توہمات,tohamaat
توہمیں,tohamein
توہین,taohin
توہینِ,taohin
توی,tave
تيار,tiyar
تيسرے,teesaray
تين,teen
تَعَالٰی,taalaa
تُرکی,turki
تُم,tum
تُمہارے,tumharey
تُوں,toon
تِ,te
تِلک,tilak
تپ,tap
تپاک,tapaak
تپسوی,tapasvi
تپسیا,tapsiya
تڑپ,tadap
تڑپتا,tadapta
تڑپنا,tadapna
تڑکا,tadka
تکاب,takaab
تکالیف,takaaleef
تکامل,takaamil
تکاملی,takamali
تکان,takaan
تکاور,takaavar
تکبر,takbar
تکبیر,takbeer
تکبیرات,takbeerat
تکتا,takta
تکثیر,takseer
تکثیری,takseeri
تکذبان,takzbaan
تکذیب,takzeeb
تکفیر,takfeer
تکفیری,takfiri
تکفین,takfeen
تکلف,taklif
تکلفات,takalfaat
تکلفانہ,taklafana
تکلفی,takalfi
تکلم,takalam
تکملہ,takmala
تکمہ,takma
تکمیل,takmeel
تکمیلِ,takmeeli
تکمیلی,takmeeli
تکن,takan
تکنیک,takneek
تکنیکی,takniki
تکون,tikon
تکونی,tikoni
تکویر,takveer
تکّ,tak
تکیه,takiyah
تگ,tag
تگنی,tagni
تگڑی,tagdi
تھ,th
تھئیٹر,theater
تھا,tha
تھائی,thai
تھام,thaam
تھامس,thomas
تھامپسن,tahamapsan
تھامی,thami
تھامے,thame
تھانا,thaana
تھانوی,thanwi
تھانہ,thana
تھانے,thane
تھاکہ,tahakah
تھر,thar
تھراپی,taheraapi
تھرمامیٹر,thermometer
تھرمل,thermal
تھرمو,tharmo
تھرو,throw
تھرڈ,third
تھرکنے,tharaknay
تھری,three
تھریس,thrace
تھریلر,threelar
تھل,thal
تھلگ,thalag
تھلہ,thalah
تھم,tham
تھما,thama
تھن,then
تھنڈر,thunder
تھنک,thank
تھنگز,tahnagar
تھوریم,thorium
تھوپنا,thoopna
تھوڑا,thoda
تھوڑی,thodi
تھوڑے,thoday
تھوکا,thooka
تھي,thi
تھپکی,thapki
تھکا,thaka
تھکان,thakaan
تھکاوٹ,thakawat
تھکتی,thakti
تھکن,thakan
تھیبیس,thebes
تھیسیس,theesis
تھیف,theef
تھیلا,thela
تھیلی,thailee
تھیم,theme
تھیوری,theory
تھیوڈور,theodore
تھیں,thein
تھے,thay
تہتر,tahtaz
تہجد,tahajjud
تہدید,tahdeed
تہذيب,tehzeeb
تہریک,tehreek
تہرے,tehray
تہزیبی,tehzeebi
تہس,tahs
تہلکہ,tehelka
تہمینہ,tehmeena
تہوار,tehvaar
تہواروں,tehwaron
تی,ti
تیئیس,taees
تیار,tayar
تیاری,tayaari
تیاریاں,tayaariyaan
تیاریوں,tayaariyoon
تیانجن,tiaanjan
تیانجین,tiajin
تیاگی,tiyagi
تیتری,teetri
تیر,teer
تیرا,tera
تیران,tiran
تیرانا,terana
تیراندازی,teerandazi
تیرانی,tirani
تیراکی,teraki
تیراہ,terah
تیرتا,teerta
تیرتی,teerti
تیرتے,tertay
تیرنے,teernay
تیروں,teeron
تیرھویں,teerhawein
تیرہ,terah
تیرہواں,teerhuwaa
تیرہویں,teerhuwein
تیری,teri
تیریاں,teriyaa
تیرے,tere
تیز,tez
تیزاب,taizab
تیزابی,taizabi
تیزابیت,taizabiat
تیزرفتار,tezraftar
تیزرفتاری,tezraftari
تیزی,tezi
تیس,tees
تیسرا,teesra
تیسری,teesri
تیسرے,teesray
تیسواں,teeswan
تیسی,tesi
تیسیر,tayseer
تیش,taish
تیغ,taigh
تیغِ,taigh
تیل,tel
تیلگو,telugu
تیلی,teli
تیمار,teemar
تیمارداری,temardari
تیمرگرہ,timergara
تیمور,timur
تیموری,timuri
تیمیہ,temia
تین,teen
تینتالیس,taintaalis
تینتیس,taintees
تینتیسویں,tainteeswein
تیندوا,taindwa
تیندوے,taindway
تینوں,teenon
تیور,tevar
تیونس,thaiuns
تیّار,tayyar
تیڈی,taidi
تیکنیک,technic
تیکھا,teekha
تیں,tin
تے,tay
ثابت,sabit
ثاقب,saqib
ثالث,salis
ثالثی,saalsi
ثانوی,sanwi
ثانی,sani
ثانیاً,saanyan
ثانیہ,saanyeh
ثبات,sabaat
ثباتی,sabaati
ثبوت,saboot
ثبوتوں,sabuton
ثراہ,sarah
ثریا,sarya
ثعالبی,saalbi
ثعلبہ,saalba
ثقافت,saqafat
ثقافتوں,saqafaton
ثقافتي,saqafati
ثقافتی,sakhaafati
ثقل,saqal
ثقلی,saqli
ثقلین,sakleen
ثقہ,sakay
ثقیف,sakeef
ثقیل,sakeel
ثلاث,salas
ثلث,sals
ثمامہ,samama
ثمر,samar
ثمرقند,samarqand
ثمرہ,samrah
ثمن,saman
ثمود,samood
ثمیر,sameer
ثمینہ,samina
ثنا,sana
ثناء,sana
ثناءاللہ,sanaullah
ثنائی,sanayi
ثنااللہ,sanalla
ثوب,sob
ثور,sor
ثوری,sorry
ج,jim
جئے,jai
جا,ja
جاء,jaa
جاءے,jaye
جاؤ,jao
جاؤں,jaon
جائداد,jaidad
جائدادیں,daidadein
جائزہ,jaizah
جائع,ja
جائنٹ,joint
جائو,jaio
جائوں,jaeon
جائيگا,jaiga
جائيں,jayen
جائگی,jaigi
جائی,jaayi
جائیداد,jaidad
جائیدادوں,jaidadon
جائیدادیں,daidadein
جائیگا,jayega
جائیے,jaiye
جائے,jaye
جابجا,jabaja
جابحق,jabahaq
جابر,jabir
جابرانہ,jabirana
جابروں,jabiron
جات,jat
جاتا,jata
جاتاہے,jatahai
جاترا,jatra
جاتی,jati
جاتیں,jatein
جاحظ,jaa
جادو,jadu
جادوئی,jaa
جادوگر,jadugar
جاذب,jazib
جار,jar
جارج,george
جارحانہ,jarhana
جارود,jaarud
جارہا,jaraha
جارہی,jarahi
جاری,jari
جاریا,jaria
جاز,jaaz
جاسم,jasam
جاسکا,jasaka
جاسکتا,jasakta
جاسکتی,jasakti
جاسکتیں,jasaktin
جاسکتے,jasakte
جاسکیں,jaasaken
جال,jaal
جالا,jala
جالب,jalib
جالندھر,jalandhar
جالندھری,jalandhari
جالوت,jaloot
جالوں,jalon
جالکاری,jalkari
جالی,jali
جالینوس,jalenos
جالے,jale
جام,jam
جامد,jaa
جامشورو,jamshoro
جامع,jaa
جامعاتی,jamauti
جامعہ,jamia
جامعیت,jamiyat
جاملیں,jamlin
جاملے,jamle
جامن,jaman
جامِ,jami
جامہ,jamah
جامی,jami
جان,jaan
جانئیے,jaa
جانا,jana
جاناں,janan
جانب,janib
جانباز,jaanbaz
جانبازوں,janbazon
جانبدار,janibdar
جانبدارانہ,janbadarana
جانبداری,janbadari
جانبر,janbar
جانبی,jaanbi
جانتا,janta
جانتی,janti
جانتے,jante
جانثار,janisar
جانثاروں,janasaron
جاندا,janda
جاندار,jandar
جانداروں,jandaron
جانز,janaz
جانسن,janson
جانسٹن,janstan
جانشین,janasheen
جانشینوں,jaannasheenon
جانشینی,janisheeni
جانشیں,jaannasheen
جانفزا,janfaza
جانم,janam
جاننا,janna
جاننے,jaanane
جانو,janu
جانور,janwar
جانوروں,janwaron
جانوری,janwari
جانوں,janon
جانِ,jaan
جانچ,jaanch
جانچا,jaancha
جانچتا,jaanchta
جانچتے,janchte
جانچنے,janchne
جانکاری,jankari
جانکی,janki
جانگیر,jangir
جانہ,janah
جانی,jani
جانیوالی,jaanewali
جانیں,janen
جانیے,jaanie
جانے,jane
جاو,jao
جاوا,java
جاوانی,javani
جاواں,jaawan
جاوتری,jaavatri
جاود,jaavad
جاودان,jaavdan
جاوداں,javdaa
جاون,javan
جاوگے,jaoge
جاوں,jaun
جاوی,jawi
جاویں,javeen
جاٹ,jat
جاٹوں,jaton
جاپان,japan
جاپانی,japani
جاپانیوں,japanion
جاچکا,jachuka
جاچکی,jachakee
جاچکے,jaachuqay
جاڑا,jada
جاک,jaak
جاکر,jakar
جاکی,jawkey
جاکے,jaa
جاگ,jaag
جاگا,jaga
جاگتا,jaagta
جاگتی,jaagte
جاگتے,jaagate
جاگرن,jagran
جاگزیں,jaagazen
جاگنے,jaagane
جاگو,jago
جاگی,jaagi
جاگیر,jagir
جاگیرداری,jagirdari
جاگیروں,jagiron
جاگیریں,jagiren
جاں,jaan
جاہ,jaah
جاہل,jahil
جاہلانہ,jaahilaanah
جاہلوں,jahilon
جاہلی,jaahilee
جاہلیت,jahliat
جاہیں,jahen
جای,jaay
جایا,jaya
جایں,jaayain
جاے,jaye
جب,jab
جبار,jabaar
جبت,jabat
جبر,jabar
جبرئیل,jabraeel
جبران,jibran
جبراً,jabran
جبروت,jabrut
جبری,jabri
جبریل,jabrel
جبلت,jablat
جبلپور,jabalpur
جبوتی,jabote
جبڑا,jabda
جبڑوں,jabdon
جبڑہ,jabdah
جبڑے,jabde
جبک,jabak
جبکہ,jabka
جبہ,jabah
جبیر,jabeer
جبیل,jabeel
جبیں,jabeen
جبے,jabay
جتاتا,jataata
جتن,jatan
جتنا,jitna
جتنی,jitnee
جتنے,jitnay
جتو,jato
جتوئی,jatoee
جتھا,jatha
جثہ,jasah
جج,jaj
ججز,jajaz
ججوں,jajon
جحش,jahash
جحیم,jaheem
جد,jad
جدا,juda
جدائی,jadae
جدت,jidat
جدل,jadal
جدلیات,jadalyaat
جدلیاتی,jadleati
جدو,jadu
جدول,jadol
جدوں,jadon
جدّ,jadd
جدّت,jiddat
جدھر,jidhar
جدہ,jadah
جدی,jadi
جدید,jadid
جدیدی,jadeedi
جدیدیت,jadidiyat
جذ,jaz
جذب,jazb
جذبات,jazbat
جذباتی,jazbati
جذبوں,jazbon
جذبہ,jazba
جذبہء,jazba
جذبے,jazbe
جذر,jazar
جذع,jaza
جر,jar
جرا,jaraa
جرائد,jaraaid
جرائم,jaraaim
جرات,jurat
جراثیم,jarasim
جراثیمی,jarasimi
جراح,jaraah
جرار,jaraar
جراید,jaraed
جرثومہ,jarsoomah
جرجان,jarjaan
جرجیس,jarjees
جرح,jarah
جرسی,jersey
جرم,jaram
جرمانوں,jarmanon
جرمانہ,jarimanah
جرمانے,jarmanay
جرمن,german
جرمنوں,germanon
جرمین,germain
جرنل,journal
جرنلزم,journalism
جرنلسٹ,journalist
جرنلسٹس,journalists
جرنیل,jarneel
جرنیلوں,jarnailon
جروار,jarvar
جرول,jarol
جرگہ,jargah
جرگے,jargay
جری,jari
جریان,jarian
جریب,jareeb
جریدوں,jaridon
جریدہ,jareedah
جریدے,jareeday
جریر,jareer
جز,jaz
جزء,jaza
جزءِ,jaza
جزئی,jazai
جزئیات,jazaiyat
جزا,jaza
جزائر,jazair
جزائری,jazairi
جزر,jazar
جزو,jazo
جزوِ,jazo
جزوی,jazvy
جزيرہ,jazeerah
جزیروں,jazeeron
جزیرہ,jazeerah
جزیرے,jazeeray
جزیہ,jaziah
جس,jas
جسا,jasa
جسارت,jasarat
جساف,jasaf
جسامت,jasamat
جست,just
جستہ,jastah
جسم,jism
جسما,jasma
جسمانی,jismani
جسمم,jasmam
جسموں,jasmon
جسمیں,jasmen
جسونت,jaswant
جسٹ,just
جسٹس,justice
جسٹن,justin
جسپال,jaspaal
جسکا,jiska
جسے,jase
جشن,jashan
جعفر,jafar
جعفری,jafree
جعفریہ,jaafaryah
جعفی,jafee
جعل,jaal
جعلسازی,jaalsazi
جعلہ,jaalah
جعلی,jali
جغرافی,geography
جغرافیائی,geografiyayi
جغرافیہ,geographia
جغرافیے,geografeye
جفا,jafa
جفاکش,jafakash
جفت,jafat
جل,jal
جلا,jala
جلائی,jalai
جلائیں,jalayin
جلائے,jalaye
جلاتا,jalata
جلاتے,jalate
جلادیا,jaladia
جلال,jalal
جلالت,jalalat
جلالوی,jalaalwee
جلالپور,jalalpur
جلالپوری,jalaalapori
جلالہ,jalalah
جلالی,jalaali
جلالین,jalalain
جلانے,jalane
جلایا,jalaaya
جلب,jalab
جلبانی,jalbani
جلتا,jalta
جلتی,jalti
جلتے,jaltay
جلد,jald
جلدبازی,jaldbazi
جلدوں,jildon
جلدہی,jaldhi
جلدی,jaldi
جلدیں,jalden
جلسوں,jalson
جلسہ,jalsah
جلسی,jalsee
جلسے,jalsay
جلفا,jalfa
جلن,jalan
جلندھر,jalandhar
جلنے,jalnay
جلوا,jalva
جلوت,jalvat
جلوس,juloos
جلوسوں,jalooso
جلوہ,jalvah
جلوے,jalvay
جليل,jaleel
جلہ,jalah
جلیانوالہ,jalianwala
جلیبی,jalebi
جلیل,jaleel
جلے,jalay
جم,gym
جما,jama
جماؤ,jamaaw
جمائی,jamaaye
جمائے,jamaayay
جمادی,jamadi
جماع,jamaa
جماعت,jamaat
جماعتوں,jamaaton
جماعتی,jamaatee
جماعتیں,jamaatein
جمالی,jamali
جمالیا,jamaliya
جمانا,jamana
جمانہ,jamanah
جمانے,jamaanay
جمایا,jamaya
جمبو,jumbo
جمتی,jamtee
جمرود,jamrood
جمرہ,jamrah
جمشیدپور,jamshedpur
جمع,jama
جمعدار,jamaadar
جمعه,jamea
جمعہ,jama
جمعۃ,jamaat
جمعی,jamaaee
جمعیت,jamaaeet
جمعیتِ,jamaaiyat
جمعیۃ,jamaait
جمعے,jamaaee
جملوں,jamlon
جملہ,jumlah
جملے,jamle
جمنا,jamna
جمناسٹ,gymnast
جمناسٹک,gymnastic
جمنے,jamnay
جمهوری,jamhoori
جمو,jamo
جموح,jamooh
جمود,jamood
جموں,jamon
جميع,jamea
جمّوں,jammu
جمکران,jamkaraan
جمہ,jama
جمہور,jamhoor
جمہوری,jamhuri
جمہوریات,jamhuriat
جمہوریتوں,jamhooreeton
جمہوریہ,jamhuriah
جمیرہ,jameerah
جمیعت,jameeat
جمیکا,jamaica
جمیں,jamain
جمے,jamay
جن,jin
جنا,jana
جنات,janaat
جنازہ,janazah
جنازے,janazay
جنان,janan
جناں,janan
جنایات,janayat
جنبش,janbash
جنت,janat
جنتا,janta
جنتی,janti
جنتیوں,janteon
جنج,janaj
جنجوعہ,janjaua
جند,jand
جندر,jandar
جندی,jandi
جنرل,general
جنرلز,generals
جنریٹر,generator
جنسی,jansi
جنسیات,jansiyat
جنسیت,jinsiyat
جنم,janam
جننے,janne
جنوب,janub
جنوباً,januban
جنود,janud
جنوری,january
جنوں,janon
جنڈ,jand
جنکا,janka
جنکشن,junction
جنکو,jinko
جنکی,janki
جنکے,jankay
جنگ,jung
جنگل,jungle
جنگلات,janglat
جنگلاتی,janglaty
جنگلوں,janglon
جنگلی,jangli
جنگوں,jangon
جنگِ,jangi
جنگی,jangi
جنگیوں,jangeon
جنگیں,jangain
جنہاں,janhan
جنہو,janhoo
جنہوں,janhon
جنہوںنے,janhunnay
جنہیں,janhein
جنہے,janhe
جنید,junaid
جنیدی,janedi
جنیرو,janero
جنین,janeen
جنیوا,geneva
جنیں,janee
جنے,jane
جهان,jahaan
جهاں,jahan
جهوٹ,jhoot
جو,jo
جوآن,javan
جوآپ,joaap
جوئ,jawe
جوئل,joil
جوئی,joyi
جوئیہ,joiyah
جوئے,joy
جوا,jawa
جوائن,jawayan
جواب,jawab
جوابا,javaba
جوابات,jawabat
جواباً,javaban
جوابدہ,jawabdah
جوابِ,javabe
جوابی,jawabi
جواد,jawad
جوادی,jawadi
جوار,jawar
جوارِشِ,jawaarish
جواری,jawaaree
جواز,jawaaz
جوالہ,jawalah
جوانان,javanaan
جواپنے,javachney
جوب,job
جوبا,joba
جوبلی,jublee
جوت,jot
جوتا,juta
جوتشیوں,jotishyoon
جوتوں,juton
جوتیاں,jootiyaan
جوتیوں,jution
جوتے,jutay
جوج,joj
جوجی,joji
جود,jod
جودڑو,jodaroo
جودھ,jodh
جودھا,jodha
جور,joor
جورج,george
جورو,joro
جورڈن,jordon
جوزا,joza
جوزجان,jozjan
جوزی,jozi
جوس,joos
جوشاندہ,joshandah
جوشوا,joshooaa
جوشیلا,joshila
جوشیلے,josheelay
جوف,jof
جوق,joq
جول,jol
جولا,jola
جولائ,july
جولائی,july
جولاہا,jolaha
جولاہے,jolahay
جولی,julie
جولیئن,juleenun
جولیا,julia
جولیان,jolian
جولیس,julius
جولین,julian
جولیٹ,juliet
جون,june
جونئیر,junior
جوناتھن,jonathan
جونز,jones
جونو,joono
جونپور,jaunapoor
جونک,jhoonk
جونہ,junah
جونہی,jonhi
جونی,juni
جونیئر,junior
جونیر,juneer
جوڈو,judo
جوڈی,jodi
جوڈیشل,judicial
جوڈیشنل,judishinal
جوڑ,jod
جوڑا,juda
جوڑتا,jodta
جوڑتی,jodati
جوڑتے,jodtay
جوڑنے,jodnay
جوڑوں,jodon
جوڑہ,jodah
جوڑیاں,jodean
جوڑیں,jodain
جوڑے,joday
جوک,jok
جوکر,joker
جوں,jon
جوھر,johar
جوہان,johaan
جوہانسبرگ,johannesburg
جوہانسن,jhonson
جوہو,juhu
جوہڑ,johad
جوہی,juhi
جوی,joi
جویا,joya
جویریہ,jawairia
جوین,join
جيتا,jeeta
جيسے,jaise
جَیسا,jaisaa
جَیسے,jaisay
جُدا,juda
جُرات,juraat
جُز,juz
جُمعہ,juma
جُو,joo
جُوئے,juway
جُڑا,juda
جُھک,jhuk
جِس,jis
جِسم,jism
جِلا,jila
جِلد,jild
جٹ,jat
جٹا,jata
جٹاں,jatan
جچی,jachi
جڑانوالہ,jaranwala
جڑواں,judwaan
جکارتا,jakarta
جکارتہ,jakarta
جکڑ,jakad
جکڑنا,jakadna
جکڑنے,jakadnay
جکھرانی,jakhrani
جکھڑ,jakhad
جگ,jug
جگاتا,jagata
جگالی,jagaalee
جگت,jagat
جگتو,jagto
جگجیت,jagjeet
جگدیش,jagdish
جگر,jigar
جگری,jigri
جگل,jugal
جگمگاتا,jagmagata
جگن,jagan
جگنو,jugnoo
جگہ,jagah
جگہوں,jaghon
جگہیں,jagahain
جگی,jagi
جگے,jagay
جھا,jaha
جھارکھنڈ,jharkhand
جھالر,jahaler
جھام,jhaam
جھامرہ,jhamrah
جھانک,jhank
جھاڑ,jhaad
جھاڑکھنڈ,jharkhand
جھاڑی,jhadi
جھاڑیوں,jhaadioon
جھجک,jhijak
جھجھک,jhijhak
جھلس,jhulas
جھلسا,jhalsa
جھلّی,jhili
جھلک,jhalak
جھلکتا,jhalakta
جھلکتے,jhalaktay
جھلکنے,jhalaknay
جھلکیاں,jhalkian
جھلکیوں,jhalkion
جھلیا,jhalya
جھمر,jhamar
جھمٹ,jhamat
جھن,jhan
جھنجلاہٹ,jhanjlaahat
جھنجوڑ,jhanjod
جھنجھوڑتے,jhanjhodtay
جھنجھوڑنے,jhanjhodnay
جھنڈ,jhand
جھنڈا,jhanda
جھنڈوں,jhandon
جھنڈے,jhanday
جھنگ,jhang
جھنگوی,jhangwi
جھنگی,jhangi
جھولتے,jhoolte
جھولنا,jhulna
جھولے,jhulay
جھومتے,jhoomtay
جھونپڑا,jhonpda
جھونپڑیوں,jhonpdiyon
جھونک,jhonk
جھوٹ,jhoot
جھوٹا,jhoota
جھوٹوں,jhoton
جھوٹی,jhooti
جھوٹے,jhootay
جھوک,jhok
جھٹلا,jhutla
جھٹلاؤ,jhutlao
جھٹلائیں,jhatlaian
جھٹلاتے,jhutlatay
جھٹلانے,jhutlanay
جھٹکے,jhatkay
جھپٹتا,jhapatta
جھپکنے,jhapaknay
جھڈو,jhaddo
جھڑ,jhad
جھڑا,jhada
جھڑتے,jhadtay
جھڑپ,jhadap
جھڑپوں,jhadpon
جھڑپیں,jhadpain
جھڑکا,jhidka
جھک,jahak
جھکا,jhuka
جھکاؤ,jhukao
جھکاتی,jhukati
جھکانے,jhukanay
جھکایا,jhukaya
جھگڑا,jhagda
جھگڑالو,jhagdaaloo
جھگڑتے,jhagadtay
جھگڑنے,jhagadnay
جھگڑوں,jhagdon
جھگڑے,jhagday
جھگی,jhagi
جھگیاں,jhagian
جھیل,jheel
جھیلنا,jhelna
جھیلنے,jhelnay
جھیلوں,jhelon
جھیلیں,jhelein
جھینگا,jhinga
جہ,jah
جہات,jehat
جہاد,jihad
جہادِ,jahadi
جہادی,jihadi
جہاز,jahaaz
جہازرانی,jahazrani
جہازوں,jahazon
جہازی,jahaazi
جہالت,jahalat
جہالتوں,jahaalaton
جہان,jahan
جہانبانی,jahanbani
جہانزیب,jahanazaib
جہانوں,jahanon
جہانِ,jahani
جہانگیر,jahangir
جہانگیرہ,jahangirah
جہانگیری,jahangiri
جہانی,jahani
جہانیاں,jahaniyan
جہاں,jahan
جہت,jehet
جہتوں,jahatun
جہتی,jahti
جہتیں,jahteyn
جہل,jahal
جہنم,jahanam
جہنمی,jahanme
جہنوں,jahaanu
جہڑی,jahadi
جہیز,jahez
جی,jee
جیا,jia
جیالا,jayala
جیانگ,jayang
جیانگشی,jiangshi
جیب,jab
جیبوتی,jeboti
جیبوں,jebo
جیت,jeet
جیتا,jeeta
جیتتا,jeetata
جیتنا,jitna
جیتنے,jeetne
جیتی,jeeti
جیتے,jeete
جید,jaed
جیرفت,jairafat
جیروم,jerome
جیری,jerry
جیسا,jaisa
جیساکہ,jaesake
جیسلمیر,jaisalmer
جیسن,jason
جیسکا,jessica
جیسی,jaisee
جیسیکا,jessica
جیسے,jaise
جیف,jeff
جیفرسن,jefferson
جیفری,jeffrey
جیل,jail
جیلانی,jilani
جیلر,jailer
جیلوں,jailon
جیمز,jamez
جیمس,james
جیمی,jaimee
جین,jain
جینا,jinaa
جینز,jeans
جینس,jeans
جینسن,genson
جینسی,jinsi
جینو,genu
جینوا,geneva
جینگ,geng
جینی,jenny
جینیات,geeneeyaat
جینیاتی,geenayaati
جینیفر,jennifer
جینے,jeena
جیو,geo
جیوانی,geoani
جیوتی,jyoti
جیول,jewel
جیون,jeevan
جیونہ,jyonah
جیوگرافک,geographic
جیوی,gewi
جیویں,geoin
جیوے,jeeve
جیٹھ,jaith
جیٹھانی,jethaani
جیپ,jeep
جیپوں,jeepon
جیڈی,jedi
جیک,jack
جیکب,jacob
جیکس,jacques
جیکل,jackal
جیکو,jaco
جیکی,jackie
جیہ,gea
جے,jay
ح,ha
حا,ha
حائل,haael
حاتم,haatim
حاتمی,haatmi
حاج,haaj
حاجات,haajaat
حاجت,haajat
حاجتمند,haajatmand
حاجتوں,haajaton
حاجی,haji
حاجیوں,hajiyon
حاد,haad
حادث,hadis
حادثات,haadsaat
حادثاتی,haadsaati
حادثوں,hadson
حادثہ,haadsa
حادثے,haadse
حادہ,hadah
حاذق,haziq
حارث,haris
حارثہ,haarsah
حازم,hazem
حاشا,hasha
حاشیہ,haasheyah
حاشیے,hashiye
حاصل,hasil
حاصلات,haslaat
حاصلِ,haasilee
حاصلہ,hasalah
حاصِل,haasel
حاضر,hazir
حاضرہ,hazrah
حاضری,haazree
حاضرین,haazreen
حاظرہ,haazirah
حافظ,hafiz
حافظِ,haafize
حافظہ,hafizah
حافظے,haafeza
حافی,hafi
حال,haal
حالاں,haalaan
حالاںکہ,haalaankeh
حالت,haalat
حالتوں,haalaton
حالتیں,haalatein
حالوں,halon
حالی,haalee
حالیکہ,haaleekah
حالیہ,haliya
حامد,hamid
حامدی,haamadee
حامل,hamil
حاملہ,hamla
حان,han
حانے,haane
حاوی,haavi
حاکم,haakim
حاکمانہ,haakmanah
حاکمہ,haakima
حاکمیت,haakmiyat
حب,hub
حباب,habab
حبالہ,habalah
حبسِ,habse
حبش,habash
حبشہ,habshah
حبشی,habshi
حبشیوں,habshiyon
حبل,habal
حبيب,habib
حبِ,habe
حبیب,habeeb
حبیبہ,habeeba
حبیبی,habibi
حبیبیہ,habeebeea
حتف,hataf
حتی,hata
حتیٰ,hatta
حثیت,haseeyat
حج,haj
حجاب,hijaab
حجابات,hijabaat
حجابانہ,hijabana
حجاج,hajjaaj
حجت,hujat
حجتہ,hujjatah
حجتی,hujjati
حجر,hajar
حجرات,hajraat
حجرِ,hajare
حجرہ,hajarah
حجری,hajri
حجرے,hujre
حجم,hajam
حجِ,hajji
حجہ,haja
حجۃالاسلام,hujjatalislam
حجی,haji
حجیت,haggith
حجیم,hajeem
حدائق,hadaeq
حدبندی,hadbandee
حدتک,hadtak
حدث,hadas
حددرجہ,hadadrajah
حدود,hadud
حدودِ,hadoodee
حديث,hadees
حدّ,hadd
حدیبیہ,hudaibia
حدیث,hadis
حدیثوں,hadison
حدیثِ,hadisi
حدیثی,hadeesi
حدیثیں,hadeesen
حدیقہ,hadiqa
حدیقۃ,hadaiqta
حذف,hazaf
حذیفہ,hazifa
حرا,hira
حراست,hirasat
حرام,haram
حران,haraan
حرب,harab
حربوں,harbon
حربہ,harba
حربی,harbi
حربے,harbay
حرث,haras
حرج,haraj
حرص,harasw
حرض,harz
حرفی,harfi
حرفیات,harfiyat
حركات,harkaat
حركت,harkat
حرمان,harman
حرمت,harmat
حرمتی,hurmati
حرملہ,harmala
حروب,harub
حروف,harof
حروفِ,harof
حرکات,harkaat
حرکت,harkat
حرکتوں,harkaton
حرکتیں,harkatain
حرکی,harkee
حرکیات,harkayaath
حریت,hareet
حریث,harees
حریری,hariree
حریف,hareef
حریفانہ,haraifaana
حریفوں,hareefoan
حزن,hazan
حزین,hazin
حزینہ,hazina
حزیں,hazin
حس,has
حسام,hasaam
حسب,hasab
حسبِ,hasabe
حسبہ,hasba
حسبی,hasbi
حسد,hasad
حسرت,hasrat
حسرتِ,hasrati
حسن,hasan
حسنات,hasnaat
حسنِ,hasane
حسنہ,hasanah
حسنی,hasni
حسنین,hasnain
حسو,haso
حسين,haseen
حسِ,hasi
حسی,hasi
حسین,hussain
حسینائیں,haseenaye
حسینعلی,haseenali
حسینہ,hasina
